Binomial.name;NCBI_ID;Motility;Gram.staining;Aerophilicity;Extreme.environment.tolerance;Biofilm.formation;Animal.pathogenicity;Biosafety.level;Health.association;Host.association;Plant.pathogenicity;Spore.formation;Hemolysis;Cell.shape;Member.of.WA.subset;Superkingdom;Phylum;Class;Order;Family;Genus;Species;FTP.path;Fasta.file;Gff.file;Gene_file;Gene_location
Streptomyces mutomycini;284036;FALSE;gram stain positive;aerobic;NA;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces mutomycini;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/001/700/505/GCF_001700505.1_ASM170050v1;GCF_001700505.1_ASM170050v1_genomic.fasta;GCF_001700505.1_ASM170050v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_001700505.1_ASM170050v1_genomic.txt
Streptomyces violaceorubidus;284042;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces violaceorubidus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/000/717/995/GCA_000717995.1_ASM71799v1;GCA_000717995.1_ASM71799v1_genomic.fasta;GCA_000717995.1_ASM71799v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_000717995.1_ASM71799v1_genomic.txt
Streptomyces spinoverrucosus;284043;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces spinoverrucosus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/651/195/GCA_014651195.1_ASM1465119v1;GCA_014651195.1_ASM1465119v1_genomic.fasta;GCA_014651195.1_ASM1465119v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014651195.1_ASM1465119v1_genomic.txt
Bradyrhizobium sediminis;2840469;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Nitrobacteraceae;Bradyrhizobium;Bradyrhizobium sediminis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/018/736/085/GCA_018736085.1_ASM1873608v1;GCA_018736085.1_ASM1873608v1_genomic.fasta;GCA_018736085.1_ASM1873608v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_018736085.1_ASM1873608v1_genomic.txt
Pseudomonas triticicola;2842345;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas triticicola;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/145/375/GCA_019145375.1_ASM1914537v1;GCA_019145375.1_ASM1914537v1_genomic.fasta;GCA_019145375.1_ASM1914537v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019145375.1_ASM1914537v1_genomic.txt
Pseudomonas siliginis;2842346;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas siliginis;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/072/275/GCF_024072275.1_ASM2407227v1;GCF_024072275.1_ASM2407227v1_genomic.fasta;GCF_024072275.1_ASM2407227v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_024072275.1_ASM2407227v1_genomic.txt
Pseudomonas azerbaijanoccidentalis;2842347;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas azerbaijanoccidentalis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/145/495/GCA_019145495.1_ASM1914549v1;GCA_019145495.1_ASM1914549v1_genomic.fasta;GCA_019145495.1_ASM1914549v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019145495.1_ASM1914549v1_genomic.txt
Pseudomonas alvandae;2842348;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;TRUE;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas alvandae;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/141/525/GCA_019141525.1_ASM1914152v1;GCA_019141525.1_ASM1914152v1_genomic.fasta;GCA_019141525.1_ASM1914152v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019141525.1_ASM1914152v1_genomic.txt
Pseudomonas asgharzadehiana;2842349;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas asgharzadehiana;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/139/815/GCA_019139815.1_ASM1913981v1;GCA_019139815.1_ASM1913981v1_genomic.fasta;GCA_019139815.1_ASM1913981v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019139815.1_ASM1913981v1_genomic.txt
Pseudomonas azerbaijanorientalis;2842350;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas azerbaijanorientalis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/139/795/GCA_019139795.1_ASM1913979v1;GCA_019139795.1_ASM1913979v1_genomic.fasta;GCA_019139795.1_ASM1913979v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019139795.1_ASM1913979v1_genomic.txt
Pseudomonas maumuensis;2842354;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas maumuensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/139/675/GCA_019139675.1_ASM1913967v1;GCA_019139675.1_ASM1913967v1_genomic.fasta;GCA_019139675.1_ASM1913967v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019139675.1_ASM1913967v1_genomic.txt
Pseudomonas fakonensis;2842355;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas fakonensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/139/895/GCA_019139895.1_ASM1913989v1;GCA_019139895.1_ASM1913989v1_genomic.fasta;GCA_019139895.1_ASM1913989v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019139895.1_ASM1913989v1_genomic.txt
Pseudomonas xanthosomatis;2842356;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas xanthosomatis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/139/835/GCA_019139835.1_ASM1913983v1;GCA_019139835.1_ASM1913983v1_genomic.fasta;GCA_019139835.1_ASM1913983v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019139835.1_ASM1913983v1_genomic.txt
Pseudomonas muyukensis;2842357;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas muyukensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/139/535/GCA_019139535.1_ASM1913953v1;GCA_019139535.1_ASM1913953v1_genomic.fasta;GCA_019139535.1_ASM1913953v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019139535.1_ASM1913953v1_genomic.txt
Komagataeibacter xylinus;28448;FALSE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Rhodospirillales;Acetobacteraceae;Komagataeibacter;Komagataeibacter xylinus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/009/834/365/GCF_009834365.1_ASM983436v1;GCF_009834365.1_ASM983436v1_genomic.fasta;GCF_009834365.1_ASM983436v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_009834365.1_ASM983436v1_genomic.txt
Neisseria subflava;28449;FALSE;gram stain negative;aerobic;FALSE;TRUE;FALSE;biosafety level 2;NA;TRUE;FALSE;FALSE;gamma;NA;TRUE;Bacteria;Pseudomonadota;Betaproteobacteria;Neisseriales;Neisseriaceae;Neisseria;Neisseria subflava;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/005/221/305/GCF_005221305.1_ASM522130v1;GCF_005221305.1_ASM522130v1_genomic.fasta;GCF_005221305.1_ASM522130v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_005221305.1_ASM522130v1_genomic.txt
Pseudomonas aromaticivorans;2849492;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aromaticivorans;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/097/855/GCA_019097855.1_ASM1909785v1;GCA_019097855.1_ASM1909785v1_genomic.fasta;GCA_019097855.1_ASM1909785v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019097855.1_ASM1909785v1_genomic.txt
Chryseobacterium faecale;2852098;FALSE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Bacteroidota;Flavobacteriia;Flavobacteriales;Weeksellaceae;Kaistella;Kaistella faecalis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/985/365/GCA_020985365.1_ASM2098536v1;GCA_020985365.1_ASM2098536v1_genomic.fasta;GCA_020985365.1_ASM2098536v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_020985365.1_ASM2098536v1_genomic.txt
Pseudomonas aegrilactucae;2854028;TRUE;gram stain negative;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas aegrilactucae;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/168/305/GCA_019168305.1_MAFF301350;GCA_019168305.1_MAFF301350_genomic.fasta;GCA_019168305.1_MAFF301350_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019168305.1_MAFF301350_genomic.txt
Streptomyces gelaticus;285446;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;NA;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces gelaticus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/014/649/535/GCA_014649535.1_ASM1464953v1;GCA_014649535.1_ASM1464953v1_genomic.fasta;GCA_014649535.1_ASM1464953v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_014649535.1_ASM1464953v1_genomic.txt
Streptomyces coelicoflavus;285562;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces coelicoflavus;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/036/101/175/GCF_036101175.1_ASM3610117v1;GCF_036101175.1_ASM3610117v1_genomic.fasta;GCF_036101175.1_ASM3610117v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_036101175.1_ASM3610117v1_genomic.txt
Micrococcus porci;2856555;FALSE;gram stain positive;aerobic;NA;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;coccus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micrococcales;Micrococcaceae;Micrococcus;Micrococcus porci;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/020/097/155/GCA_020097155.1_ASM2009715v1;GCA_020097155.1_ASM2009715v1_genomic.fasta;GCA_020097155.1_ASM2009715v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_020097155.1_ASM2009715v1_genomic.txt
Micromonospora saelicesensis;285676;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;NA;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora saelicesensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/900/091/575/GCA_900091575.1_IMG-taxon_2622736537_annotated_assembly;GCA_900091575.1_IMG-taxon_2622736537_annotated_assembly_genomic.fasta;GCA_900091575.1_IMG-taxon_2622736537_annotated_assembly_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_900091575.1_IMG-taxon_2622736537_annotated_assembly_genomic.txt
Micromonospora lupini;285679;FALSE;gram stain positive;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Micromonosporales;Micromonosporaceae;Micromonospora;Micromonospora lupini;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/026/342/015/GCF_026342015.1_ASM2634201v1;GCF_026342015.1_ASM2634201v1_genomic.fasta;GCF_026342015.1_ASM2634201v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_026342015.1_ASM2634201v1_genomic.txt
Pseudomonas canavaninivorans;2859001;TRUE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;TRUE;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Pseudomonadales;Pseudomonadaceae;Pseudomonas;Pseudomonas canavaninivorans;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/024/749/365/GCF_024749365.1_ASM2474936v1;GCF_024749365.1_ASM2474936v1_genomic.fasta;GCF_024749365.1_ASM2474936v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_024749365.1_ASM2474936v1_genomic.txt
Sphingomonas citricola;2862498;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Sphingomonadaceae;Sphingomonas;Sphingomonas citricola;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/429/535/GCA_019429535.1_ASM1942953v1;GCA_019429535.1_ASM1942953v1_genomic.fasta;GCA_019429535.1_ASM1942953v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019429535.1_ASM1942953v1_genomic.txt
Actinomadura parmotrematis;2864039;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;TRUE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Streptosporangiales;Thermomonosporaceae;Actinomadura;Actinomadura parmotrematis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/458/805/GCA_019458805.1_ASM1945880v1;GCA_019458805.1_ASM1945880v1_genomic.fasta;GCA_019458805.1_ASM1945880v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019458805.1_ASM1945880v1_genomic.txt
Shewanella mangrovisoli;2864211;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella mangrovisoli;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/457/635/GCA_019457635.1_ASM1945763v1;GCA_019457635.1_ASM1945763v1_genomic.fasta;GCA_019457635.1_ASM1945763v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019457635.1_ASM1945763v1_genomic.txt
Streptomyces coriariae;2864460;FALSE;gram stain positive;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;TRUE;NA;tail;TRUE;Bacteria;Actinomycetota;Actinomycetes;Kitasatosporales;Streptomycetaceae;Streptomyces;Streptomyces coriariae;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/913/919/575/GCA_913919575.1_CMBFB;GCA_913919575.1_CMBFB_genomic.fasta;GCA_913919575.1_CMBFB_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_913919575.1_CMBFB_genomic.txt
Qipengyuania vesicularis;2867232;FALSE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania vesicularis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/415/GCA_019711415.1_ASM1971141v1;GCA_019711415.1_ASM1971141v1_genomic.fasta;GCA_019711415.1_ASM1971141v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711415.1_ASM1971141v1_genomic.txt
Qipengyuania polymorpha;2867234;FALSE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania polymorpha;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/435/GCA_019711435.1_ASM1971143v1;GCA_019711435.1_ASM1971143v1_genomic.fasta;GCA_019711435.1_ASM1971143v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711435.1_ASM1971143v1_genomic.txt
Qipengyuania xiapuensis;2867236;FALSE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania xiapuensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/335/GCA_019711335.1_ASM1971133v1;GCA_019711335.1_ASM1971133v1_genomic.fasta;GCA_019711335.1_ASM1971133v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711335.1_ASM1971133v1_genomic.txt
Qipengyuania xiamenensis;2867237;FALSE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania xiamenensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/495/GCA_019711495.1_ASM1971149v1;GCA_019711495.1_ASM1971149v1_genomic.fasta;GCA_019711495.1_ASM1971149v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711495.1_ASM1971149v1_genomic.txt
Qipengyuania aestuarii;2867241;FALSE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;NA;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania aestuarii;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/535/GCA_019711535.1_ASM1971153v1;GCA_019711535.1_ASM1971153v1_genomic.fasta;GCA_019711535.1_ASM1971153v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711535.1_ASM1971153v1_genomic.txt
Qipengyuania sphaerica;2867243;FALSE;gram stain negative;aerobic;FALSE;NA;FALSE;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Sphingomonadales;Erythrobacteraceae;Qipengyuania;Qipengyuania sphaerica;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/595/GCA_019711595.1_ASM1971159v1;GCA_019711595.1_ASM1971159v1_genomic.fasta;GCA_019711595.1_ASM1971159v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711595.1_ASM1971159v1_genomic.txt
Helicobacter turcicus;2867412;TRUE;gram stain negative;aerobic;NA;NA;TRUE;biosafety level 2;NA;TRUE;FALSE;FALSE;NA;spirillum;TRUE;Bacteria;Campylobacterota;Epsilonproteobacteria;Campylobacterales;Helicobacteraceae;Helicobacter;Helicobacter turcicus;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/711/735/GCA_019711735.1_ASM1971173v1;GCA_019711735.1_ASM1971173v1_genomic.fasta;GCA_019711735.1_ASM1971173v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019711735.1_ASM1971173v1_genomic.txt
Listeria ilorinensis;2867439;TRUE;gram stain positive;NA;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Bacillota;Bacilli;Bacillales;Listeriaceae;Listeria;Listeria ilorinensis;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/913/566/895/GCA_913566895.1_201901311;GCA_913566895.1_201901311_genomic.fasta;GCA_913566895.1_201901311_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_913566895.1_201901311_genomic.txt
Rhizobium croatiense;2867516;TRUE;gram stain negative;aerobic;NA;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;gamma;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium croatiense;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/029/369/725/GCF_029369725.1_ASM2936972v1;GCF_029369725.1_ASM2936972v1_genomic.fasta;GCF_029369725.1_ASM2936972v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_029369725.1_ASM2936972v1_genomic.txt
Rhizobium redzepovicii;2867518;FALSE;gram stain positive;aerobic;NA;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Rhizobiaceae;Rhizobium;Rhizobium redzepovicii;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/031/583/855/GCA_031583855.1_ASM3158385v1;GCA_031583855.1_ASM3158385v1_genomic.fasta;GCA_031583855.1_ASM3158385v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_031583855.1_ASM3158385v1_genomic.txt
Mycobacterium kiyosense;2871094;FALSE;gram stain positive;aerobic;NA;NA;TRUE;NA;NA;TRUE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Mycobacteriaceae;Mycobacterium;Mycobacterium kiyosense;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/021/654/635/GCA_021654635.1_ASM2165463v1;GCA_021654635.1_ASM2165463v1_genomic.fasta;GCA_021654635.1_ASM2165463v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_021654635.1_ASM2165463v1_genomic.txt
Symbiopectobacterium purcellii;2871826;TRUE;gram stain negative;NA;FALSE;NA;NA;biosafety level 1;NA;TRUE;TRUE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Enterobacterales;Enterobacteriaceae;Symbiopectobacterium;Symbiopectobacterium purcellii;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/797/845/GCA_019797845.1_ASM1979784v1;GCA_019797845.1_ASM1979784v1_genomic.fasta;GCA_019797845.1_ASM1979784v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019797845.1_ASM1979784v1_genomic.txt
Shewanella metallivivens;2872342;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;FALSE;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Gammaproteobacteria;Alteromonadales;Shewanellaceae;Shewanella;Shewanella metallivivens;ftp.ncbi.nlm.nih.gov/genomes/all/GCF/028/750/675/GCF_028750675.1_ASM2875067v1;GCF_028750675.1_ASM2875067v1_genomic.fasta;GCF_028750675.1_ASM2875067v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCF_028750675.1_ASM2875067v1_genomic.txt
Oricola indica;2872591;TRUE;gram stain negative;aerobic;FALSE;NA;NA;biosafety level 1;NA;NA;FALSE;FALSE;NA;bacillus;TRUE;Bacteria;Pseudomonadota;Alphaproteobacteria;Hyphomicrobiales;Ahrensiaceae;Oricola;Oricola indica;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/966/595/GCA_019966595.1_ASM1996659v1;GCA_019966595.1_ASM1996659v1_genomic.fasta;GCA_019966595.1_ASM1996659v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019966595.1_ASM1996659v1_genomic.txt
Nocardia coffeae;2873381;FALSE;gram stain positive;aerobic;FALSE;NA;TRUE;biosafety level 1;NA;NA;FALSE;TRUE;NA;NA;TRUE;Bacteria;Actinomycetota;Actinomycetes;Mycobacteriales;Nocardiaceae;Nocardia;Nocardia coffeae;ftp.ncbi.nlm.nih.gov/genomes/all/GCA/019/890/715/GCA_019890715.1_ASM1989071v1;GCA_019890715.1_ASM1989071v1_genomic.fasta;GCA_019890715.1_ASM1989071v1_genomic.txt;TRUE;../../data/generated_data/gene_data/reformatted_gff_non_hyp/GCA_019890715.1_ASM1989071v1_genomic.txt
